nama_destinasi,alamat,website,google_link,longitude,latitude,review_total,average_rating,letak_provinsi,kategori
Alun - Alun Surabaya,"Jl. Gubernur Suryo No.15, Embong Kaliasin, Kec. Genteng, Surabaya, Jawa Timur 21256",Tidak Tersedia,"https://www.google.com/maps/place/Alun+-+Alun+Surabaya/@-7.2640893,112.7452733,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd7f92cdeef8595:0xd38a95482769b82c!8m2!3d-7.2640893!4d112.7452733!16s%2Fg%2F11kn291r80?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",112.745,-7.264,10626,4.8,Jawa Timur,Wisata Alam
"(WBF) Wisata Bukit Flora | Agrowisata, Outbound, Wisata Edukasi","Nongkojajar, Jl. Raya Tutur, Tutur, Pasuruan Regency, Jawa Timur 67165",http://www.bukitfloranongkojajar.wordpress.com/,"https://www.google.com/maps/place/(WBF)+Wisata+Bukit+Flora+%7C+Agrowisata,+Outbound,+Wisata+Edukasi/@-7.8651598,112.8066596,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd62db1e90f454f:0x231600a27b09bd90!8m2!3d-7.8651598!4d112.8066596!16s%2Fg%2F11pz7sbnl0?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",112.807,-7.865,442,4.1,Jawa Timur,Wisata Alam
TANARIA PARK,"Jl. Raya Trawas, Sumber Wekas, Lumbangrejo, Kec. Prigen, Pasuruan, Jawa Timur 67157",Tidak Tersedia,"https://www.google.com/maps/place/TANARIA+PARK/@-7.6767289,112.6242708,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd7d9ca140c2635:0xa72386ba68292a07!8m2!3d-7.6767289!4d112.6242708!16s%2Fg%2F11rvlsl1l7?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",112.624,-7.677,1804,4.3,Jawa Timur,Wisata Alam
Wisata Desa BMJ - Majapahit,"CFV5+94F, Sudirman number No.2, Jlaget, Randugenengan, Kec. Dlanggu, Kabupaten Mojokerto, Jawa Timur 61371",https://wd.cokelatmojopahit.com/,"https://www.google.com/maps/place/Wisata+Desa+BMJ+-+Majapahit/@-7.555593,112.458979,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7872f1f5fb5795:0x6b044cb0fa0d1600!8m2!3d-7.555593!4d112.458979!16s%2Fg%2F11cjkgvpqc?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",112.459,-7.556,3043,4.4,Jawa Timur,Wisata Alam
Bali van Java-pasuruan,"Jl. Sedap Malam No.16, Genengan, Durensewu, Kec. Pandaan, Pasuruan, Jawa Timur 67156",Tidak Tersedia,"https://www.google.com/maps/place/Bali+van+Java-pasuruan/@-7.6705539,112.6812161,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd7d9000faa8e27:0x93f067b5ea682ce5!8m2!3d-7.6705539!4d112.6812161!16s%2Fg%2F11ld65y8_4?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",112.681,-7.671,30,3.9,Jawa Timur,Wisata Alam
Wisata Alam Dua Musim,"Awar-awar, Tambakrejo, Krembung, Sidoarjo Regency, Jawa Timur",Tidak Tersedia,"https://www.google.com/maps/place/Wisata+Alam+Dua+Musim/@-7.5534534,112.6639678,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd7dff07942b0e1:0x8007e36d6c886a41!8m2!3d-7.5534534!4d112.6639678!16s%2Fg%2F11twhyh9rl?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",112.664,-7.553,30,4.6,Jawa Timur,Wisata Alam
Sendang Gede,"P695+948, Ngimbang, Kec. Ngimbang, Kabupaten Lamongan, Jawa Timur 62273",Tidak Tersedia,"https://www.google.com/maps/place/Sendang+Gede/@-7.2815875,112.2078281,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7821ecc16235f7:0x403134a3c93aa362!8m2!3d-7.2815875!4d112.2078281!16s%2Fg%2F11b7cd8qnq?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",112.208,-7.282,76,4.4,Jawa Timur,Wisata Alam
Rainbow Garden Poetoek Soeko,"Sukosari, Trawas, Mojokerto Regency, Jawa Timur 61375",Tidak Tersedia,"https://www.google.com/maps/place/Rainbow+Garden+Poetoek+Soeko/@-7.6408019,112.5774625,17z/data=!3m1!4b1!4m6!3m5!1s0x2e78771e00528a3f:0xea13eb690c00878c!8m2!3d-7.6408019!4d112.5774625!16s%2Fg%2F11k0r0gqm1?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",112.577,-7.641,1480,4.5,Jawa Timur,Wisata Alam
Blitar Park,"Sawahan, Pojok, Garum, Blitar Regency, Jawa Timur 66182",http://www.blitarpark.com/,"https://www.google.com/maps/place/Blitar+Park/@-8.081,112.1960303,17z/data=!3m1!4b1!4m6!3m5!1s0x2e78ed0f79cf8e4b:0xaad62cf0e08b2b71!8m2!3d-8.081!4d112.1960303!16s%2Fg%2F11h6pt3rts?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",112.196,-8.081,6380,4.3,Jawa Timur,Wisata Alam
AGROWISATA SUMBER CELENG,"Desa, Area Sawah/Kebun, Bulurejo, Kec. Diwek, Kabupaten Jombang, Jawa Timur 61471",Tidak Tersedia,"https://www.google.com/maps/place/AGROWISATA+SUMBER+CELENG/@-7.6289224,112.2636655,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7869ffb0e56f4f:0x3e9dfb82c93be44b!8m2!3d-7.6289224!4d112.2636655!16s%2Fg%2F11fjmbjth8?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",112.264,-7.629,62,4,Jawa Timur,Wisata Alam
